Sample_Id	Site1_Hugo_Symbol	Site2_Hugo_Symbol	Center	Event_Info	DNA_support	RNA_support	Method	Connection_Type	SV_Status	Group
P-1102	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0831	ALK	ALK	OrigiMed	ALK-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-4191	DCTN1	ALK	OrigiMed	DCTN1-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3832	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3720	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5201	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4234	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3934	CTNNA2	ALK	OrigiMed	CTNNA2-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-2983	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3920	ACYP2	ALK	OrigiMed	ACYP2-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-5318	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1244	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2236	DCTN1	ALK	OrigiMed	DCTN1-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-9653		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-4487	ALK	C2orf48	OrigiMed	ALK-C2orf48	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3129	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5781	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0408	ALK	ALK	OrigiMed	ALK-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0714	LCLAT1	ALK	OrigiMed	LCLAT1-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-0916	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4473	KIF5B	ALK	OrigiMed	KIF5B-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1483	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4825		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-4728	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3913	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3087	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1378	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0525	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0486	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-6404	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2064	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1872	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3448	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4507		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-2975		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-1209	ZMYM1	ALK	OrigiMed	ZMYM1-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-3528	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1331	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0479	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4920	ALK	ALK	OrigiMed	ALK-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-0419	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-9701	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4293	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1240	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1538	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2925	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3564	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3713		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-3566	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-7343	SQSTM1	ALK	OrigiMed	SQSTM1-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3318	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2529		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-3263	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3045	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1436	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1664	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2149	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-6323	KLC1	ALK	OrigiMed	KLC1-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3058	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3934		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4091	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3698	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4383	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3528	ALK	PHTF2	OrigiMed	ALK-PHTF2	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0789	ALK	ALK	OrigiMed	ALK-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-5373	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4600	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3566	ALK	PLB1	OrigiMed	ALK-PLB1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8105	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5418	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1764	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3093	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2829	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1348	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0573	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3902	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-5418	ALK	ALS2CR11	OrigiMed	ALK-ALS2CR11	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3587	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3353	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2940	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1322	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2234	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4324	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4906		ALK	OrigiMed	Intergenic-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-0781	LINC01317	ALK	OrigiMed	LINC01317-ALK	yes	no	OrigiFus	unknown	SOMATIC	Potential fusion
P-0406	FBXO11	ALK	OrigiMed	FBXO11-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3581	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-1779	KIF5B	ALK	OrigiMed	KIF5B-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3937	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4368	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2768	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2006	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-2009	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0406	EML6	ALK	OrigiMed	EML6-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3591	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-0983	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-4365	RAB10	ALK	OrigiMed	RAB10-ALK	yes	no	OrigiFus	unknown	SOMATIC	Novel fusion
P-5748	EML4	ALK	OrigiMed	EML4-ALK	yes	no	OrigiFus	unknown	SOMATIC	Known fusion
P-3547	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0042	AMER1		OrigiMed	AMER1-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8046	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1239	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9235	TBC1D2B	AMER1	OrigiMed	TBC1D2B-AMER1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2382	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2823	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4987	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7880	AMER1	AMER1	OrigiMed	AMER1-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2306	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6839	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7072	LOC102467216	APC	OrigiMed	LOC102467216-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3575	APC	SRP19	OrigiMed	APC-SRP19	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0868	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7590	APC		OrigiMed	APC-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3888	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6830		APC	OrigiMed	Intergenic-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1489	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3921		APC	OrigiMed	Intergenic-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4748	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3987	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4240	APC	REEP5	OrigiMed	APC-REEP5	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2971	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5629	APC	TTC28	OrigiMed	APC-TTC28	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0023	SYNJ1	APC	OrigiMed	SYNJ1-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0427	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6184	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6603	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0034	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-9214	APC	APC	OrigiMed	APC-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6610	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7991	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6542		APC	OrigiMed	Intergenic-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5131	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7488		APC	OrigiMed	Intergenic-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1412	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4060		APC	OrigiMed	Intergenic-APC	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2697	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5350	APC	PRMT8	OrigiMed	APC-PRMT8	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3728	APC	APC	OrigiMed	APC-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4905	ARID1A	RBM34	OrigiMed	ARID1A-RBM34	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7178	RHD	ARID1A	OrigiMed	RHD-ARID1A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7583	ARID1A		OrigiMed	ARID1A-Intergenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6304	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5464	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2763	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5121	ARID1A	VWA3A	OrigiMed	ARID1A-VWA3A	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1792	ARID1A	FGR	OrigiMed	ARID1A-FGR	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-10175	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-6249	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2875	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8599	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4462	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2841	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1932	ARID1A	ZDHHC18	OrigiMed	ARID1A-ZDHHC18	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-10018	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1005	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2765	ARID1A	SLC9A1	OrigiMed	ARID1A-SLC9A1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5376	ARID1A	RPS6KA1	OrigiMed	ARID1A-RPS6KA1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4297	ARID1A	PBRM1	OrigiMed	ARID1A-PBRM1	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8332	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0578	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4415	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5216	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4618	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4740	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5813	ARID1A	DLGAP4	OrigiMed	ARID1A-DLGAP4	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-2352	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5319	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-3311	ARID1A	EPB41	OrigiMed	ARID1A-EPB41	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-1783	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-7043	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4804	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-5721	ARID1A	ARID1A	OrigiMed	ARID1A-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-8359	ARID1B	ARID1B	OrigiMed	ARID1B-Intragenic	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-4441	ARID1B	TMEM242	OrigiMed	ARID1B-TMEM242	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
P-0099	DNAH5	ARID1B	OrigiMed	DNAH5-ARID1B	yes	no	OrigiFus	unknown	SOMATIC	Rearrangement
